instances,accuracy,kappa,kappa_t,kappa_m,f1_score,f1_score_0,f1_score_1,precision,precision_0,precision_1,recall,recall_0,recall_1
1000.0,83.1,58.84994107506354,63.41991341991341,49.096385542168655,80.44325112588328,88.22299651567944,70.08849557522123,84.0144900613041,82.3146944083225,85.71428571428571,77.16324108539678,95.04504504504504,59.2814371257485
2000.0,91.2,81.38117806364252,81.81818181818183,74.71264367816093,91.04733721861147,92.914653784219,88.39050131926122,89.75196362133113,97.79661016949153,81.70731707317073,92.38065016571468,88.49693251533742,96.26436781609196
3000.0,91.4,81.55646295851491,81.05726872246697,73.78048780487806,91.30535712331708,93.22834645669292,88.21917808219179,89.54807900297843,98.99665551839465,80.09950248756219,93.13298490127758,88.09523809523809,98.17073170731707
4000.0,94.1,86.86670821832428,86.05200945626477,81.08974358974358,93.7409613482879,95.54043839758126,91.2850812407681,92.09254665084671,99.5275590551181,84.65753424657534,95.4494633273703,91.86046511627907,99.03846153846155
5000.0,93.0,84.66875755611237,84.88120950323975,79.28994082840238,92.4147842259189,94.59876543209876,90.05681818181817,91.64985950940338,96.68769716088327,86.6120218579235,93.19258477984948,92.59818731117825,93.78698224852072
6000.0,92.30000000000001,81.98543861947633,81.83962264150945,75.32051282051285,90.9955645689241,94.4243301955105,87.56058158319871,91.17865485943662,94.08369408369408,88.27361563517914,90.81320810971974,94.76744186046511,86.85897435897436
7000.0,95.1,88.73521784709322,88.49765258215962,84.24437299035368,94.40179366273401,96.399706098457,92.33176838810641,93.77903600464576,97.61904761904762,89.9390243902439,95.0328776968345,95.21044992743106,94.85530546623794
8000.0,94.8,88.2817429555247,87.409200968523,83.85093167701861,94.18608548190277,96.10778443113772,92.16867469879517,93.52103663413854,97.56838905775076,89.47368421052632,94.8606606936734,94.69026548672566,95.03105590062113
9000.0,94.3,86.87531084790095,87.10407239819004,81.55339805825241,93.4796675579352,95.81804842259722,91.05180533751962,92.79362659698025,97.17261904761905,88.41463414634147,94.17592813754278,94.50072358900144,93.85113268608414
10000.0,94.3,87.29357634554337,86.33093525179855,82.8313253012048,93.67137947397156,95.68508705526115,91.60530191458027,93.2047168687194,96.78407350689126,89.62536023054754,94.14273861914725,94.61077844311377,93.67469879518072
11000.0,95.5,89.38028036059848,89.46135831381731,84.74576271186439,94.73551602876928,96.76491732566498,92.61083743842366,93.95693673283691,98.10495626822157,89.80891719745223,95.52710662339223,95.46099290780143,95.59322033898306
12000.0,94.0,86.79664634817243,86.39455782312923,82.60869565217389,93.40509301089934,95.39170506912441,91.40401146131805,93.17486240701254,95.98145285935085,90.36827195467421,93.63646421064277,94.80916030534351,92.46376811594203
13000.0,94.3,86.66766464264663,86.5566037735849,81.12582781456952,93.36080397961194,95.87255611875452,90.79159935379644,92.78443127600907,96.92532942898976,88.64353312302839,93.94438224634243,94.84240687679083,93.04635761589404
14000.0,95.6,89.42795632784868,89.42307692307692,84.50704225352112,94.7771603974249,96.87943262411348,92.54237288135593,93.81533593264395,98.4149855907781,89.2156862745098,95.75891100794713,95.39106145251397,96.12676056338029
15000.0,95.39999999999999,89.55186590047015,89.37644341801385,85.57993730407522,94.80572420757548,96.58246656760772,92.96636085626912,94.24531477948604,97.74436090225564,90.74626865671642,95.37283821045024,95.44787077826726,95.29780564263322
16000.0,96.5,92.01969994071776,91.93548387096774,88.88888888888887,96.05330480356781,97.40932642487046,94.60708782742681,95.35748323173473,98.7987987987988,91.91616766467065,96.7593558104507,96.05839416058394,97.46031746031746
