avg,std,drift_detector,generator,part_drif
355.661,605.3304055436722,DDM,AGRAW1,95
176.409,238.69124788241962,DDM,AGRAW1,96
297.22533333333325,375.80873481717913,DDM,AGRAW1,97
133.45566666666667,131.6482426945212,DDM,AGRAW1,98
122.96266666666665,124.84385901152243,DDM,AGRAW1,99
47.12466666666667,47.66086359081445,EDDM,AGRAW1,95
23.757333333333335,20.606657813003597,EDDM,AGRAW1,96
29.267666666666663,34.103529307422455,EDDM,AGRAW1,97
31.324999999999996,22.63736582879436,EDDM,AGRAW1,98
30.486,25.9131152893665,EDDM,AGRAW1,99
127.10566666666668,142.14198180418836,ADWIN,AGRAW1,95
197.4863333333334,259.47498216569727,ADWIN,AGRAW1,96
115.14366666666668,108.18792617426811,ADWIN,AGRAW1,97
199.20066666666665,307.474703414046,ADWIN,AGRAW1,98
86.67933333333332,146.42658476595776,ADWIN,AGRAW1,99
70.03866666666667,59.78035578868883,ECDD,AGRAW1,95
65.59599999999999,52.11702617507385,ECDD,AGRAW1,96
50.394000000000005,47.140475573898634,ECDD,AGRAW1,97
72.65333333333335,75.60920007218405,ECDD,AGRAW1,98
58.34233333333332,69.22773055567319,ECDD,AGRAW1,99
318.6436666666666,1094.2803017767228,STEPD,AGRAW1,95
167.07066666666668,248.01619688954906,STEPD,AGRAW1,96
147.23866666666663,158.02888741689674,STEPD,AGRAW1,97
155.67133333333334,191.18073762338668,STEPD,AGRAW1,98
86.514,103.58381110965168,STEPD,AGRAW1,99
319.11199999999997,411.9340766465754,SeqDrift2,AGRAW1,95
245.30733333333328,385.4628179987735,SeqDrift2,AGRAW1,96
343.4533333333333,543.723896307267,SeqDrift2,AGRAW1,97
391.9726666666667,649.5063943022851,SeqDrift2,AGRAW1,98
455.3136666666667,1563.0901302537086,SeqDrift2,AGRAW1,99
370.6186666666666,654.6139763287131,SEED,AGRAW1,95
234.486,207.86241485816203,SEED,AGRAW1,96
255.5346666666667,236.4942696378827,SEED,AGRAW1,97
172.8016666666667,166.87010523324886,SEED,AGRAW1,98
285.93899999999996,455.5445392154317,SEED,AGRAW1,99
142.87866666666667,156.3344965926871,HDDM_A_Test,AGRAW1,95
165.8673333333333,202.83033982343198,HDDM_A_Test,AGRAW1,96
306.9459999999999,515.7549597990632,HDDM_A_Test,AGRAW1,97
161.32400000000004,289.89725881882134,HDDM_A_Test,AGRAW1,98
94.04533333333335,110.64707553699233,HDDM_A_Test,AGRAW1,99
99.34833333333334,95.36559047802422,HDDM_W_Test,AGRAW1,95
147.99766666666667,258.9054825823938,HDDM_W_Test,AGRAW1,96
121.91966666666669,71.19829948733951,HDDM_W_Test,AGRAW1,97
95.29499999999999,88.79332008471508,HDDM_W_Test,AGRAW1,98
100.15633333333334,161.85354040990953,HDDM_W_Test,AGRAW1,99
367.66066666666666,414.52976071635146,RDDM_30,AGRAW1,95
230.18266666666668,224.4242753645177,RDDM_30,AGRAW1,96
243.96066666666673,302.7008788329202,RDDM_30,AGRAW1,97
211.30699999999996,250.6307789977121,RDDM_30,AGRAW1,98
315.827,933.2681383473526,RDDM_30,AGRAW1,99
153.7673333333333,83.73545764025071,RDDM,AGRAW1,95
230.37933333333336,195.93284397012724,RDDM,AGRAW1,96
128.29533333333333,119.10509241095538,RDDM,AGRAW1,97
142.07966666666664,130.839791258453,RDDM,AGRAW1,98
84.157,106.0178951608328,RDDM,AGRAW1,99
50.75566666666667,35.50333145714012,HypothesisTestDetectorKs,AGRAW1,95
72.96433333333334,46.782464997285274,HypothesisTestDetectorKs,AGRAW1,96
72.96133333333334,60.4335296963164,HypothesisTestDetectorKs,AGRAW1,97
68.46166666666664,48.02221021453395,HypothesisTestDetectorKs,AGRAW1,98
67.856,50.86486033926893,HypothesisTestDetectorKs,AGRAW1,99
2.752,1.4268552834818253,HypothesisTestDetectorWrs,AGRAW1,95
3.135666666666667,1.5232348983513855,HypothesisTestDetectorWrs,AGRAW1,96
3.5886666666666667,1.6730445966029184,HypothesisTestDetectorWrs,AGRAW1,97
6.466666666666668,3.62039255084614,HypothesisTestDetectorWrs,AGRAW1,98
11.809666666666667,6.500878650015105,HypothesisTestDetectorWrs,AGRAW1,99
68.25999999999999,38.96281885764085,HypothesisTestDetectorTt,AGRAW1,95
124.56733333333332,125.73480947171666,HypothesisTestDetectorTt,AGRAW1,96
96.31733333333332,73.3682961927168,HypothesisTestDetectorTt,AGRAW1,97
116.47133333333332,121.5426560165424,HypothesisTestDetectorTt,AGRAW1,98
109.54933333333335,158.12809750185306,HypothesisTestDetectorTt,AGRAW1,99
56.64333333333334,98.7764619509909,MultivariateDetector,AGRAW1,95
269.4513333333333,740.814556290274,MultivariateDetector,AGRAW1,96
103.88666666666667,234.4095828862141,MultivariateDetector,AGRAW1,97
50.68433333333333,102.40267811222299,MultivariateDetector,AGRAW1,98
34.141333333333336,110.53435317382353,MultivariateDetector,AGRAW1,99
0.0,0.0,Studd,AGRAW1,95
0.0,0.0,Studd,AGRAW1,96
0.0,0.0,Studd,AGRAW1,97
0.0,0.0,Studd,AGRAW1,98
0.0,0.0,Studd,AGRAW1,99
43.852,27.731549469872757,DDM,AGRAW2,95
44.74199999999999,20.51818598219638,DDM,AGRAW2,96
37.55466666666667,32.125626088148934,DDM,AGRAW2,97
46.20266666666668,71.74911144320109,DDM,AGRAW2,98
36.98733333333333,114.34817281540714,DDM,AGRAW2,99
41.656333333333336,65.80173196724299,EDDM,AGRAW2,95
41.910000000000004,34.07528674371892,EDDM,AGRAW2,96
28.833333333333346,23.292941754006847,EDDM,AGRAW2,97
22.31266666666666,11.455811315174882,EDDM,AGRAW2,98
30.56733333333333,21.217168980699466,EDDM,AGRAW2,99
93.51399999999998,103.93809107989877,ADWIN,AGRAW2,95
94.14666666666668,60.83680017518637,ADWIN,AGRAW2,96
67.59500000000001,63.18879445756186,ADWIN,AGRAW2,97
36.83166666666666,85.36549920131017,ADWIN,AGRAW2,98
28.082333333333334,98.97664615734134,ADWIN,AGRAW2,99
47.15633333333334,88.48771592649958,ECDD,AGRAW2,95
52.649666666666654,84.04851541355279,ECDD,AGRAW2,96
30.546666666666667,36.172404337499536,ECDD,AGRAW2,97
13.007666666666667,13.87071680035158,ECDD,AGRAW2,98
24.719666666666665,27.829287987458265,ECDD,AGRAW2,99
41.80166666666667,104.06074508296693,STEPD,AGRAW2,95
24.935666666666666,35.90582633160746,STEPD,AGRAW2,96
24.384333333333338,47.63907084759549,STEPD,AGRAW2,97
28.322,37.56177865863116,STEPD,AGRAW2,98
92.67633333333333,136.39134299222303,STEPD,AGRAW2,99
95.92299999999999,31.145418940833014,SeqDrift2,AGRAW2,95
122.91233333333334,85.2870080642741,SeqDrift2,AGRAW2,96
157.0556666666667,98.60935086435207,SeqDrift2,AGRAW2,97
184.29399999999998,197.2656894410852,SeqDrift2,AGRAW2,98
329.98966666666666,1211.94613835072,SeqDrift2,AGRAW2,99
48.71266666666668,33.154359083267195,SEED,AGRAW2,95
63.282666666666664,53.95131397431906,SEED,AGRAW2,96
57.70566666666668,44.44252698210978,SEED,AGRAW2,97
219.93733333333336,578.8596314763096,SEED,AGRAW2,98
250.4303333333333,428.025237079025,SEED,AGRAW2,99
55.48766666666667,33.60858240423452,HDDM_A_Test,AGRAW2,95
61.84000000000001,49.84746553236182,HDDM_A_Test,AGRAW2,96
57.301333333333325,43.50935506557437,HDDM_A_Test,AGRAW2,97
29.212333333333337,24.429498928322065,HDDM_A_Test,AGRAW2,98
26.435000000000002,38.153941670553515,HDDM_A_Test,AGRAW2,99
33.601333333333336,16.59447191754598,HDDM_W_Test,AGRAW2,95
46.215333333333334,38.04655216383681,HDDM_W_Test,AGRAW2,96
41.05833333333332,24.541081215427777,HDDM_W_Test,AGRAW2,97
46.324666666666666,34.39379330958163,HDDM_W_Test,AGRAW2,98
40.68433333333334,53.808566336803864,HDDM_W_Test,AGRAW2,99
166.55366666666666,292.9859641403018,RDDM_30,AGRAW2,95
103.95533333333333,60.76261025407721,RDDM_30,AGRAW2,96
75.03433333333334,42.93951347988108,RDDM_30,AGRAW2,97
88.63366666666667,88.4248563275935,RDDM_30,AGRAW2,98
32.748,59.223075311345774,RDDM_30,AGRAW2,99
70.94066666666666,77.20345117213925,RDDM,AGRAW2,95
47.01833333333333,29.38172721078339,RDDM,AGRAW2,96
44.763000000000005,32.690576945046416,RDDM,AGRAW2,97
35.623333333333335,23.728583232511422,RDDM,AGRAW2,98
33.084,30.899315051739684,RDDM,AGRAW2,99
83.0843333333333,69.42506851194955,HypothesisTestDetectorKs,AGRAW2,95
79.34666666666665,53.82074769289463,HypothesisTestDetectorKs,AGRAW2,96
76.51633333333331,67.26106488815718,HypothesisTestDetectorKs,AGRAW2,97
71.37033333333333,65.23767078834811,HypothesisTestDetectorKs,AGRAW2,98
34.13866666666667,40.33951261755926,HypothesisTestDetectorKs,AGRAW2,99
0.9826666666666667,0.35534896776111347,HypothesisTestDetectorWrs,AGRAW2,95
1.1586666666666667,0.5157630808380488,HypothesisTestDetectorWrs,AGRAW2,96
1.6506666666666667,0.8361297081726549,HypothesisTestDetectorWrs,AGRAW2,97
2.111666666666667,0.8418712622617679,HypothesisTestDetectorWrs,AGRAW2,98
4.736666666666666,1.897151080494704,HypothesisTestDetectorWrs,AGRAW2,99
89.216,73.75157397642438,HypothesisTestDetectorTt,AGRAW2,95
106.681,96.3827980277947,HypothesisTestDetectorTt,AGRAW2,96
122.445,130.49790695000948,HypothesisTestDetectorTt,AGRAW2,97
