instances,accuracy,kappa,kappa_t,kappa_m,f1_score,f1_score_0,f1_score_1,precision,precision_0,precision_1,recall,recall_0,recall_1
1000.0,66.60000000000001,0.0,27.705627705627705,-0.6024096385542175,,79.95198079231693,,,66.60000000000001,,50.0,100.0,0.0
2000.0,65.2,0.0,28.09917355371901,0.0,,78.93462469733656,,,65.2,,50.0,100.0,0.0
3000.0,67.2,0.0,27.753303964757713,0.0,,80.38277511961722,,,67.2,,50.0,100.0,0.0
4000.0,68.8,0.0,26.241134751773043,0.0,,81.51658767772511,,,68.8,,50.0,100.0,0.0
5000.0,66.2,0.0,26.99784017278618,0.0,,79.66305655836342,,,66.2,,50.0,100.0,0.0
6000.0,68.8,0.0,26.415094339622634,0.0,,81.51658767772511,,,68.8,,50.0,100.0,0.0
7000.0,68.89999999999999,0.0,26.995305164319245,0.0,,81.58673771462402,,,68.89999999999999,,50.0,100.0,0.0
8000.0,67.80000000000001,0.0,22.033898305084765,0.0,,80.81048867699643,,,67.80000000000001,,50.0,100.0,0.0
9000.0,69.1,0.0,30.090497737556543,0.0,,81.72678888231816,,,69.1,,50.0,100.0,0.0
10000.0,66.8,0.0,20.383693045563568,0.0,,80.0959232613909,,,66.8,,50.0,100.0,0.0
11000.0,85.3,62.23991780118161,65.57377049180327,50.16949152542372,81.58603762687947,90.03389830508476,72.00000000000001,84.20383963862224,86.23376623376623,82.17391304347827,79.12609688664503,94.18439716312056,64.0677966101695
12000.0,92.0,83.04330316454356,81.859410430839,76.81159420289856,91.91113653657621,93.57945425361154,89.38992042440319,90.52122505884932,98.64636209813875,82.3960880195599,93.34439650403806,89.00763358778626,97.68115942028986
13000.0,92.7,83.65208044072202,82.78301886792454,75.82781456953644,92.2526245760457,94.52363090772693,89.05547226386807,90.29123071944774,99.21259842519686,81.36986301369863,94.3011252585438,90.25787965616045,98.34437086092716
14000.0,92.4,82.53676470588236,81.73076923076924,73.23943661971832,91.75720474901404,94.43631039531479,88.01261829652998,89.47252747252747,99.23076923076923,79.71428571428572,94.16161775119993,90.08379888268156,98.23943661971832
15000.0,93.8,86.19024496723523,85.68129330254041,80.56426332288399,93.2684862107693,95.31013615733737,90.85545722713864,92.03890161177478,98.28393135725429,85.79387186629526,94.53136867689503,92.51101321585902,96.55172413793103
16000.0,94.1,86.31661950925366,86.40552995391704,81.26984126984125,93.15842699763675,95.69657184536835,90.62003179650239,93.19557668381275,95.6268221574344,90.76433121019109,93.12130691692735,95.76642335766424,90.47619047619048
17000.0,94.6,88.36608066184074,88.18380743982493,84.99999999999999,94.19787877842043,95.74132492113566,92.62295081967213,93.89254160673926,96.656050955414,91.12903225806451,94.50520833333333,94.84375,94.16666666666667
18000.0,94.3,86.97904768866674,87.58169934640522,82.07547169811319,93.5033795007937,95.78713968957871,91.19010819165379,93.11896683713914,96.57228017883756,89.66565349544074,93.89097917704126,95.01466275659824,92.76729559748428
19000.0,94.1,87.1408146184963,86.05200945626477,83.42696629213482,93.57051138202971,95.41569541569542,91.72510518934081,93.54326489538272,95.48989113530327,91.59663865546219,93.59777374555098,95.34161490683229,91.85393258426966
20000.0,94.19999999999999,87.10073436853646,86.44859813084112,82.47734138972808,93.59381228207944,95.59939301972686,91.49560117302052,92.98065399760314,97.07241910631741,88.88888888888889,94.2151111592809,94.17040358744396,94.25981873111783
21000.0,49.0,3.3783476560723793,-5.590062111801247,3.2258064516129057,51.89700707532076,51.14942528735632,46.65271966527197,51.939643920012536,41.58878504672897,62.290502793296085,51.85444017371337,66.4179104477612,37.29096989966555
